yr,i,fd,value
2012,pet,pce,421.088
2012,cep,def_equipment,35.591
2012,cep,changinv,2.487
2012,cep,state_equipment,19.294
2012,cep,fed_equipment,11.061
2012,cep,residential,0.42
2012,cep,equipment,243.865
2012,cep,pce,147.791
2012,wst,pce,23.330000000000002
2012,mot,def_equipment,1.499
2012,mot,changinv,19.825
2012,mot,state_equipment,8.842
2012,mot,fed_equipment,0.311
2012,mot,equipment,227.9
2012,mot,pce,275.728
2012,adm,pce,48.001
2012,soc,pce,171.101
2012,alt,changinv,0.362
2012,alt,pce,357.664
2012,pmt,changinv,4.371
2012,pmt,pce,0.838
2012,trk,pce,10.096
2012,fdd,defense,650.338
2012,wtt,pce,16.735
2012,wpd,changinv,0.92
2012,wpd,fed_equipment,0.092
2012,wpd,structures,0.385
2012,wpd,residential,4.956
2012,wpd,pce,8.484
2012,oth,intelprop,6.571
2012,oth,pce,-72.34
2012,wrh,pce,0.164
2012,ott,pce,3.529
2012,che,changinv,3.004
2012,che,equipment,3.1750000000000003
2012,che,pce,470.66200000000003
2012,air,pce,106.142
2012,mmf,def_equipment,0.156
2012,mmf,changinv,3.332
2012,mmf,state_equipment,1.481
2012,mmf,fed_equipment,0.28
2012,mmf,equipment,60.866
2012,mmf,pce,217.758
2012,otr,pce,18.069
2012,min,changinv,1.467
2012,min,equipment,0.31
2012,min,pce,0.253
2014,ppd,changinv,1.372
2014,ppd,pce,43.328
2014,res,pce,626.65
2014,com,def_equipment,0.794
2014,com,state_equipment,0.31
2014,com,def_intelprop,7.072
2014,com,equipment,22.119
2014,com,state_intelprop,8.31
2014,com,intelprop,181.395
2014,com,fed_intelprop,18.413
2014,amb,pce,897.47
2014,fbp,changinv,6.83
2014,fbp,pce,950.323
2014,rec,pce,175.059
