yr,va,j,value
2008,othtax,hou,0.0
2009,othtax,hou,0.0
2005,othtax,hou,0.0
2006,othtax,hou,0.0
2012,othtax,hou,0.0
2014,othtax,hou,0.0
2013,othtax,hou,0.0
1999,othtax,hou,0.0
2002,othtax,hou,0.0
2017,othtax,hou,0.0
2016,othtax,hou,0.0
2015,othtax,hou,0.0
1998,othtax,hou,0.0
2004,othtax,hou,0.0
2000,othtax,hou,0.0
1997,othtax,hou,0.0
2007,othtax,hou,0.0
2010,othtax,hou,0.0
2003,othtax,hou,0.0
2011,othtax,hou,0.0
2001,othtax,hou,0.0
2008,surplus,hou,1218.9117435344597
2009,surplus,hou,1245.6924930375847
2005,surplus,hou,1050.495643473967
2006,surplus,hou,1116.6732093596324
2012,surplus,hou,1324.4496598710855
2014,surplus,hou,1416.9285758019248
2013,surplus,hou,1352.7906707842399
1999,surplus,hou,749.9059444698928
2002,surplus,hou,893.5428868968036
2017,surplus,hou,1657.6239031381183
2016,surplus,hou,1587.6948854068753
2015,surplus,hou,1511.5066622213003
1998,surplus,hou,700.533389983845
2004,surplus,hou,979.655606057462
2000,surplus,hou,799.3498699611373
1997,surplus,hou,660.8447745209425
2007,surplus,hou,1157.604850166265
2010,surplus,hou,1250.121513573654
2003,surplus,hou,921.5452354446395
2011,surplus,hou,1293.7551283255655
2001,surplus,hou,857.7201668062803
2008,compen,hou,14.29323671325522
2009,compen,hou,14.198604392403873
2005,compen,hou,12.796591318061106
2006,compen,hou,13.225209968385476
2012,compen,hou,15.485411538134347
2014,compen,hou,16.480953744522434
2013,compen,hou,15.655290399425242
1999,compen,hou,9.895592609172729
2002,compen,hou,11.938538176278215
2017,compen,hou,18.945399991411513
2016,compen,hou,18.085506744709303
2015,compen,hou,17.59370987607318
1998,compen,hou,9.396771796902929
2004,compen,hou,12.417691827626987
2000,compen,hou,10.793788837531435
1997,compen,hou,8.827103083850064
2007,compen,hou,13.99476644773234
2010,compen,hou,14.100160989322234
2003,compen,hou,11.879780042556732
2011,compen,hou,14.822641863524986
2001,compen,hou,11.148370354382797
2008,othtax,fbt,0.0
2009,othtax,fbt,0.0
2005,othtax,fbt,0.0
2006,othtax,fbt,0.0
2012,othtax,fbt,0.0
2014,othtax,fbt,0.0
2013,othtax,fbt,0.0
1999,othtax,fbt,0.0
2002,othtax,fbt,0.0
2017,othtax,fbt,0.0
2016,othtax,fbt,0.0
2015,othtax,fbt,0.0
1998,othtax,fbt,0.0
2004,othtax,fbt,0.0
2000,othtax,fbt,0.0
1997,othtax,fbt,0.0
2007,othtax,fbt,0.0
2010,othtax,fbt,0.0
2003,othtax,fbt,0.0
2011,othtax,fbt,0.0
2001,othtax,fbt,0.0
2008,surplus,fbt,27.74592942200232
2009,surplus,fbt,31.74505374374138
2005,surplus,fbt,31.98664085310931
2006,surplus,fbt,32.58343785208951
2012,surplus,fbt,27.491726695423434
2014,surplus,fbt,27.77624794176706
2013,surplus,fbt,28.08821013425476
1999,surplus,fbt,24.015204198421866
2002,surplus,fbt,28.015836662539616
2017,surplus,fbt,29.5133579028528
2016,surplus,fbt,30.085734854288688
2015,surplus,fbt,28.86345775980608
1998,surplus,fbt,24.050344015345996
2004,surplus,fbt,29.27308589419578
2000,surplus,fbt,23.17392963264791
1997,surplus,fbt,21.028214359521723
2007,surplus,fbt,27.49249873534075
2010,surplus,fbt,30.52453765644801
2003,surplus,fbt,28.872979632422545
2011,surplus,fbt,28.238499077778435
2001,surplus,fbt,26.711095667249825
2008,compen,fbt,79.96766851541724
2009,compen,fbt,79.23173720555369
2005,compen,fbt,73.17104190710951
2006,compen,fbt,74.45672315198945
2012,compen,fbt,82.305300221706
2014,compen,fbt,86.95751695971713
2013,compen,fbt,84.77498212158768
1999,compen,fbt,62.70861990028169
2002,compen,fbt,69.2914324581242
2017,compen,fbt,95.44156737395537
2016,compen,fbt,92.71846705027967
2015,compen,fbt,91.74470379729068
1998,compen,fbt,61.21797830771535
2004,compen,fbt,72.11124000978819
2000,compen,fbt,65.37000770131849
1997,compen,fbt,57.175308476839746
2007,compen,fbt,76.74390430474793
2010,compen,fbt,79.57112088190375
2003,compen,fbt,71.3672540053325
2011,compen,fbt,80.17626340895086
2001,compen,fbt,67.7532532231004
2008,othtax,ins,0.0
2009,othtax,ins,0.0
2005,othtax,ins,0.0
2006,othtax,ins,0.0
2012,othtax,ins,0.0
2014,othtax,ins,0.0
2013,othtax,ins,0.0
1999,othtax,ins,0.0
2002,othtax,ins,0.0
2017,othtax,ins,0.0
2016,othtax,ins,0.0
2015,othtax,ins,0.0
1998,othtax,ins,0.0
2004,othtax,ins,0.0
2000,othtax,ins,0.0
1997,othtax,ins,0.0
2007,othtax,ins,0.0
2010,othtax,ins,0.0
2003,othtax,ins,0.0
2011,othtax,ins,0.0
2001,othtax,ins,0.0
2008,surplus,ins,132.15657961950723
2009,surplus,ins,156.73709118971342
2005,surplus,ins,155.85891051377763
2006,surplus,ins,169.0196225598373
2012,surplus,ins,166.89633527178324
2014,surplus,ins,217.46597768826888
2013,surplus,ins,140.4387729580869
1999,surplus,ins,93.07555232858506
2002,surplus,ins,89.18866089642574
2017,surplus,ins,255.3220190341199
2016,surplus,ins,272.22254777915856
