uni_0,uni_1,uni_2,uni_3,value
CA,2017,1119,millions of us dollars (USD),1758.232
CA,2017,11211,millions of us dollars (USD),36.256
CA,2017,11212,millions of us dollars (USD),230.702
CA,2017,1122,millions of us dollars (USD),1.3559999999999999
CA,2017,1123,millions of us dollars (USD),23.680999999999997
CA,2017,1124,millions of us dollars (USD),3.3699999999999997
CA,2017,1125,millions of us dollars (USD),0.886
CA,2017,1129,millions of us dollars (USD),3.209
CA,2017,11114,millions of us dollars (USD),17.83
CA,2017,11113,millions of us dollars (USD),10.774
CA,2017,11112,millions of us dollars (USD),2.8979999999999997
CA,2017,11116,millions of us dollars (USD),503.96799999999996
ME,2012,1112,millions of us dollars (USD),220.62099999999998
ME,2012,1113,millions of us dollars (USD),112.89999999999999
ME,2012,1114,millions of us dollars (USD),73.502
ME,2012,1119,millions of us dollars (USD),47.510999999999996
