year,state,windc_label,units,value
2006,CO,pce,millions of us dollars (USD),157358.1
2006,CT,pce,millions of us dollars (USD),135787.1
2006,DE,pce,millions of us dollars (USD),30335.1
2006,DC,pce,millions of us dollars (USD),30129.2
2006,FL,pce,millions of us dollars (USD),601391.8
2006,GA,pce,millions of us dollars (USD),262158.8
2006,HI,pce,millions of us dollars (USD),43302.6
2006,ID,pce,millions of us dollars (USD),38292.9
2006,IL,pce,millions of us dollars (USD),403311.0
2006,IN,pce,millions of us dollars (USD),176438.6
2006,IA,pce,millions of us dollars (USD),83436.6
2006,KS,pce,millions of us dollars (USD),81548.8
2006,KY,pce,millions of us dollars (USD),111616.9
2006,LA,pce,millions of us dollars (USD),117591.1
2006,ME,pce,millions of us dollars (USD),43103.6
2006,MD,pce,millions of us dollars (USD),196527.3
2006,MA,pce,millions of us dollars (USD),254673.5
2006,MI,pce,millions of us dollars (USD),285612.0
2006,MN,pce,millions of us dollars (USD),175205.4
2006,MS,pce,millions of us dollars (USD),69476.8
2006,MO,pce,millions of us dollars (USD),172244.1
2006,MT,pce,millions of us dollars (USD),28410.5
2006,NE,pce,millions of us dollars (USD),52449.4
2006,NV,pce,millions of us dollars (USD),80749.5
2006,NH,pce,millions of us dollars (USD),48689.4
2006,NJ,pce,millions of us dollars (USD),325927.2
2006,NM,pce,millions of us dollars (USD),51732.1
2006,NY,pce,millions of us dollars (USD),633801.5
2006,NC,pce,millions of us dollars (USD),248748.5
2006,ND,pce,millions of us dollars (USD),19392.6
2006,OH,pce,millions of us dollars (USD),331271.8
2006,OK,pce,millions of us dollars (USD),92783.0
2006,OR,pce,millions of us dollars (USD),111395.2
2006,PA,pce,millions of us dollars (USD),408447.7
2006,RI,pce,millions of us dollars (USD),34645.3
2006,SC,pce,millions of us dollars (USD),120096.5
2006,SD,pce,millions of us dollars (USD),22092.7
2006,TN,pce,millions of us dollars (USD),168266.9
2006,TX,pce,millions of us dollars (USD),661764.6
2006,UT,pce,millions of us dollars (USD),65910.3
2006,VT,pce,millions of us dollars (USD),21708.6
2006,VA,pce,millions of us dollars (USD),254834.8
2006,WA,pce,millions of us dollars (USD),208972.1
2006,WV,pce,millions of us dollars (USD),46349.1
2006,WI,pce,millions of us dollars (USD),169089.9
2006,WY,pce,millions of us dollars (USD),16747.8
2007,US,pce,millions of us dollars (USD),9746594.0
2007,AL,pce,millions of us dollars (USD),127522.3
2007,AK,pce,millions of us dollars (USD),25924.9
2007,AZ,pce,millions of us dollars (USD),194613.9
2007,AR,pce,millions of us dollars (USD),72798.0
2007,CA,pce,millions of us dollars (USD),1247693.8
2007,CO,pce,millions of us dollars (USD),166609.7
2007,CT,pce,millions of us dollars (USD),141447.7
2007,DE,pce,millions of us dollars (USD),32083.7
2007,DC,pce,millions of us dollars (USD),31729.8
2007,FL,pce,millions of us dollars (USD),630844.7
2007,GA,pce,millions of us dollars (USD),275892.1
2007,HI,pce,millions of us dollars (USD),45225.8
2007,ID,pce,millions of us dollars (USD),40798.0
2007,IL,pce,millions of us dollars (USD),422823.5
2007,IN,pce,millions of us dollars (USD),183072.2
2007,IA,pce,millions of us dollars (USD),87191.0
2007,KS,pce,millions of us dollars (USD),86072.7
2007,KY,pce,millions of us dollars (USD),115384.9
2007,LA,pce,millions of us dollars (USD),124298.7
2007,ME,pce,millions of us dollars (USD),44724.5
2007,MD,pce,millions of us dollars (USD),205423.4
2007,MA,pce,millions of us dollars (USD),262980.3
2007,MI,pce,millions of us dollars (USD),293658.7
2007,MN,pce,millions of us dollars (USD),181917.6
2007,MS,pce,millions of us dollars (USD),72541.6
2007,MO,pce,millions of us dollars (USD),180296.9
2007,MT,pce,millions of us dollars (USD),30401.4
2007,NE,pce,millions of us dollars (USD),55161.1
2007,NV,pce,millions of us dollars (USD),85769.9
2007,NH,pce,millions of us dollars (USD),50566.6
2007,NJ,pce,millions of us dollars (USD),338978.1
2007,NM,pce,millions of us dollars (USD),54732.4
2007,NY,pce,millions of us dollars (USD),666993.2
2007,NC,pce,millions of us dollars (USD),264574.3
