windc_label,state,year,units,value
col,ID,2004,million metric tons of carbon dioxide,1.155658600832824
col,IL,2004,million metric tons of carbon dioxide,102.0593335835284
col,IN,2004,million metric tons of carbon dioxide,153.1293864225211
col,IA,2004,million metric tons of carbon dioxide,42.27122757615106
col,KS,2004,million metric tons of carbon dioxide,36.85999266077217
col,KY,2004,million metric tons of carbon dioxide,91.79825102586409
col,LA,2004,million metric tons of carbon dioxide,24.54876269753165
col,ME,2004,million metric tons of carbon dioxide,0.6956567928000328
col,MD,2004,million metric tons of carbon dioxide,31.2289986267202
col,MA,2004,million metric tons of carbon dioxide,10.04607412258458
col,MI,2004,million metric tons of carbon dioxide,73.78124654354
col,MN,2004,million metric tons of carbon dioxide,36.1778944488832
col,MS,2004,million metric tons of carbon dioxide,17.6856980569077
col,MO,2004,million metric tons of carbon dioxide,77.17659495443323
col,MT,2004,million metric tons of carbon dioxide,18.70542382286682
col,NE,2004,million metric tons of carbon dioxide,21.37321462134934
col,NV,2004,million metric tons of carbon dioxide,18.50998701082653
col,NH,2004,million metric tons of carbon dioxide,4.155238017385918
col,NJ,2004,million metric tons of carbon dioxide,10.77914755300917
col,NM,2004,million metric tons of carbon dioxide,29.58949885948172
col,NY,2004,million metric tons of carbon dioxide,26.34217065138937
col,NC,2004,million metric tons of carbon dioxide,74.77716367245698
col,ND,2004,million metric tons of carbon dioxide,37.93210178839267
col,OH,2004,million metric tons of carbon dioxide,132.7664158691033
col,OK,2004,million metric tons of carbon dioxide,35.55808013144347
col,OR,2004,million metric tons of carbon dioxide,3.484350262522586
col,PA,2004,million metric tons of carbon dioxide,139.9749685794902
col,RI,2004,million metric tons of carbon dioxide,0.007213508486049507
col,SC,2004,million metric tons of carbon dioxide,41.40438867515208
col,SD,2004,million metric tons of carbon dioxide,4.158450585773545
col,TN,2004,million metric tons of carbon dioxide,61.81027729184404
col,TX,2004,million metric tons of carbon dioxide,155.3774032432114
col,UT,2004,million metric tons of carbon dioxide,38.16996006229915
col,VT,2004,million metric tons of carbon dioxide,0.002467779218911673
col,VA,2004,million metric tons of carbon dioxide,43.03850756998087
col,WA,2004,million metric tons of carbon dioxide,10.75946265438485
col,WV,2004,million metric tons of carbon dioxide,89.39873362596285
col,WI,2004,million metric tons of carbon dioxide,47.66266230767111
col,WY,2004,million metric tons of carbon dioxide,47.80636889082668
col,US,2004,million metric tons of carbon dioxide,2142.822709042902
col,AL,2005,million metric tons of carbon dioxide,84.85720959489913
col,AK,2005,million metric tons of carbon dioxide,1.336925300138003
col,AZ,2005,million metric tons of carbon dioxide,40.94889654747637
col,AR,2005,million metric tons of carbon dioxide,23.62324242841036
col,CA,2005,million metric tons of carbon dioxide,6.398597955686386
col,CO,2005,million metric tons of carbon dioxide,36.96347239886487
col,CT,2005,million metric tons of carbon dioxide,4.017949431935916
col,DE,2005,million metric tons of carbon dioxide,5.41956792435583
col,DC,2005,million metric tons of carbon dioxide,0.08964253220694099
col,FL,2005,million metric tons of carbon dioxide,64.25358235048854
col,GA,2005,million metric tons of carbon dioxide,86.10398862912137
col,HI,2005,million metric tons of carbon dioxide,1.576747325359368
col,ID,2005,million metric tons of carbon dioxide,1.067578993584666
col,IL,2005,million metric tons of carbon dioxide,100.0034315668053
col,IN,2005,million metric tons of carbon dioxide,151.4435440271011
col,IA,2005,million metric tons of carbon dioxide,41.03074913990996
col,KS,2005,million metric tons of carbon dioxide,36.31122205067094
col,KY,2005,million metric tons of carbon dioxide,94.14526415422652
col,LA,2005,million metric tons of carbon dioxide,24.23822558393075
col,ME,2005,million metric tons of carbon dioxide,0.6716020206827383
col,MD,2005,million metric tons of carbon dioxide,31.45189345640948
